"Program Title","Program Number","Agency","Published Date","Parent Shortname","URL"
"Voting Access for Individuals with Disabilities-Grants for Protection and Advocacy Systems","93.618","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 2003","HHS","https://www.cfda.gov/programs/93.618"
"Basic Center Grant","93.623","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.623"
"Developmental Disabilities Basic Support and Advocacy Grants","93.630","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.630"
"Developmental Disabilities Projects of National Significance","93.631","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.631"
"University Centers for Excellence in Developmental Disabilities Education, Research, and Service","93.632","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.632"
"Children's Justice Grants to States","93.643","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.643"
"Child Welfare Services_State Grants","93.645","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.645"
"Social Services Research and Demonstration","93.647","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.647"
"Child Welfare Research Training or Demonstration ","93.648","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.648"
"Adoption Opportunities","93.652","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.652"
"Foster Care_Title IV-E","93.658","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.658"
"Adoption Assistance","93.659","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.659"
"Social Services Block Grant","93.667","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.667"
"Child Abuse and Neglect State Grants","93.669","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.669"
"Child Abuse and Neglect Discretionary Activities","93.670","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.670"
"Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes","93.671","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.671"
"Chafee Foster Care Independence Program","93.674","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.674"
"Unaccompanied Alien Children Program","93.676","Administration For Children And Families, Department Of Health And Human Services","Jan, 01 2003","HHS","https://www.cfda.gov/programs/93.676"
"Trans-NIH Recovery Act Research Support  ","93.701","National Institutes Of Health, Department Of Health And Human Services","May, 15 2009","HHS","https://www.cfda.gov/programs/93.701"
"National Center for Research Resources, Recovery Act Construction Support","93.702","National Institutes Of Health, Department Of Health And Human Services","May, 15 2009","HHS","https://www.cfda.gov/programs/93.702"
"ARRA – Health Center Integrated Services Development Initiative[g1]","93.703","Health Resources And Services Administration, Department Of Health And Human Services","May, 22 2009","HHS","https://www.cfda.gov/programs/93.703"
"Trans-NIH Recovery Act Loan Repayment Support","93.704","National Institutes Of Health, Department Of Health And Human Services","May, 15 2009","HHS","https://www.cfda.gov/programs/93.704"
"Aging Home-Delivered Nutrition Services for States","93.705","Administration On Aging, Department Of Health And Human Services","May, 22 2009","HHS","https://www.cfda.gov/programs/93.705"
"Aging Nutrition Services for Native Americans","93.706","Administration On Aging, Department Of Health And Human Services","May, 22 2009","HHS","https://www.cfda.gov/programs/93.706"
"Aging Congregate Nutrition Services for States","93.707","Administration On Aging, Department Of Health And Human Services","May, 22 2009","HHS","https://www.cfda.gov/programs/93.707"
"ARRA - Head Start","93.708","Administration For Children And Families, Department Of Health And Human Services","May, 26 2009","HHS","https://www.cfda.gov/programs/93.708"
"ARRA - Early Head Start","93.709","Administration For Children And Families, Department Of Health And Human Services","May, 26 2009","HHS","https://www.cfda.gov/programs/93.709"
"ARRA - Community Services Block Grant","93.710","Administration For Children And Families, Department Of Health And Human Services","May, 26 2009","HHS","https://www.cfda.gov/programs/93.710"
"ARRA –  Strengthening Communities Fund","93.711","Administration For Children And Families, Department Of Health And Human Services","May, 26 2009","HHS","https://www.cfda.gov/programs/93.711"
"ARRA - Immunization","93.712","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jun, 11 2009","HHS","https://www.cfda.gov/programs/93.712"
"ARRA – Child Care and Development Block Grant ","93.713","Administration For Children And Families, Department Of Health And Human Services","May, 26 2009","HHS","https://www.cfda.gov/programs/93.713"
"ARRA – Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program","93.714","Administration For Children And Families, Department Of Health And Human Services","May, 26 2009","HHS","https://www.cfda.gov/programs/93.714"
"Recovery Act – Comparative Effectiveness Research - AHRQ","93.715","Agency For Healthcare Research And Quality, Department Of Health And Human Services","Aug, 19 2009","HHS","https://www.cfda.gov/programs/93.715"
"ARRA – Temporary Assistance for Needy Families (TANF) Supplemental Grants ","93.716","Administration For Children And Families, Department Of Health And Human Services","May, 26 2009","HHS","https://www.cfda.gov/programs/93.716"
"ARRA - Preventing Healthcare-Associated Infections","93.717","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jun, 10 2009","HHS","https://www.cfda.gov/programs/93.717"
"Health Information Technology Regional Extension Centers Program","93.718","Office Of The Secretary, Department Of Health And Human Services","Jul, 29 2009","HHS","https://www.cfda.gov/programs/93.718"
"ARRA - State Grants to Promote Health Information Technology","93.719","Office Of The Secretary, Department Of Health And Human Services","Jul, 29 2009","HHS","https://www.cfda.gov/programs/93.719"
"ARRA - Survey and Certification Ambulatory Surgical Center Healthcare-Associated Infection (ASC-HAI) Prevention Initiative","93.720","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Aug, 13 2009","HHS","https://www.cfda.gov/programs/93.720"
"ARRA - Health Information Technology Professionals in Health Care","93.721","Office Of The Secretary, Department Of Health And Human Services","Oct, 13 2009","HHS","https://www.cfda.gov/programs/93.721"
"ARRA - IHS Tribal Agreements","93.722","Indian Health Service, Department Of Health And Human Services","Aug, 19 2009","HHS","https://www.cfda.gov/programs/93.722"
"ARRA - Prevention and Wellness-State, Territories and Pacific Islands","93.723","Centers For Disease Control And Prevention, Department Of Health And Human Services","Sep, 11 2009","HHS","https://www.cfda.gov/programs/93.723"
"ARRA - Prevention and Wellness – Communities Putting Prevention to Work Funding Opportunities Announcement (FOA)","93.724","Centers For Disease Control And Prevention, Department Of Health And Human Services","Sep, 11 2009","HHS","https://www.cfda.gov/programs/93.724"
"ARRA - Communities Putting Prevention to Work: Chronic Disease Self-Management Program","93.725","Administration On Aging, Department Of Health And Human Services","Nov, 25 2009","HHS","https://www.cfda.gov/programs/93.725"
"ARRA Accelerating Adoption of Comparative Effectiveness Research (CER)","93.726","Office Of The Secretary, Department Of Health And Human Services","Jan, 01 2010","HHS","https://www.cfda.gov/programs/93.726"
"ARRA - Health Information Technology - Beacon Communities","93.727","Office Of The Secretary, Department Of Health And Human Services","Dec, 01 2009","HHS","https://www.cfda.gov/programs/93.727"
"ARRA - Strategic Health IT Advanced Research Projects (SHARP)","93.728","Office Of The Secretary, Department Of Health And Human Services","Dec, 16 2009","HHS","https://www.cfda.gov/programs/93.728"
"ARRA –Health Information Technology and Public Health","93.729","Centers For Disease Control And Prevention, Department Of Health And Human Services","Feb, 03 2010","HHS","https://www.cfda.gov/programs/93.729"
"ARRA Prevention Research Centers Comparative Effectiveness Research Program ","93.730","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 28 2010","HHS","https://www.cfda.gov/programs/93.730"
"ARRA - Prevention and Wellness - Leveraging National Organizations","93.731","Office Of The Secretary, Department Of Health And Human Services","Feb, 12 2010","HHS","https://www.cfda.gov/programs/93.731"
"Rural PACE (Program of All-Inclusive Care for the Elderly) Provider Grant Program","93.760","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2006","HHS","https://www.cfda.gov/programs/93.760"
"Children's Health Insurance Program","93.767","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 1998","HHS","https://www.cfda.gov/programs/93.767"
"Medicaid Infrastructure Grants To Support the Competitive Employment of People with Disabilities","93.768","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2000","HHS","https://www.cfda.gov/programs/93.768"
"Demonstration to Maintain Independence and Employment","93.769","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2000","HHS","https://www.cfda.gov/programs/93.769"
"Medicare_Prescription Drug Coverage","93.770","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2005","HHS","https://www.cfda.gov/programs/93.770"
"Medicare_Hospital Insurance","93.773","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.773"
"Medicare_Supplementary Medical Insurance","93.774","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.774"
"State Medicaid Fraud Control Units","93.775","Office Of The Secretary, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.775"
"State Survey and Certification of Health Care Providers and Suppliers","93.777","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.777"
"Medical Assistance Program","93.778","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.778"
"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations","93.779","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.779"
"Grants to States for Operation of Qualified High-Risk Pools","93.780","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2003","HHS","https://www.cfda.gov/programs/93.780"
"Federal Reimbursement of Emergency Health Services Furnished to Undocumented Aliens","93.784","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2004","HHS","https://www.cfda.gov/programs/93.784"
"Alternatives to Psychiatric Residential Treatment Facilities for Children","93.789","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2006","HHS","https://www.cfda.gov/programs/93.789"
"Alternate Non-Emergency Service Providers or Networks","93.790","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2006","HHS","https://www.cfda.gov/programs/93.790"
"Money Follows the Person Rebalancing Demonstration ","93.791","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2006","HHS","https://www.cfda.gov/programs/93.791"
"Medicaid Transformation Grants","93.793","Centers For Medicare And Medicaid Services, Department Of Health And Human Services","Jan, 01 2006","HHS","https://www.cfda.gov/programs/93.793"
"Health Careers Opportunity Program","93.822","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.822"
"Basic/Core Area Health Education Centers","93.824","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.824"
"Cardiovascular Diseases Research","93.837","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.837"
"Lung Diseases Research","93.838","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.838"
"Blood Diseases and Resources Research","93.839","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.839"
"Arthritis, Musculoskeletal and Skin Diseases Research","93.846","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.846"
"Diabetes, Digestive, and Kidney Diseases Extramural Research","93.847","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.847"
"Extramural Research Programs in the Neurosciences and Neurological Disorders","93.853","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.853"
"Allergy, Immunology and Transplantation Research","93.855","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.855"
"Microbiology and Infectious Diseases Research","93.856","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.856"
"Biomedical Research and Research Training","93.859","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.859"
"Child Health and Human Development Extramural Research","93.865","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.865"
"Aging Research","93.866","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.866"
"Vision Research","93.867","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.867"
"Medical Library Assistance","93.879","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.879"
"Grants for Training in Primary Care Medicine and Dentistry","93.884","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.884"
"Health Care and Other Facilities","93.887","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.887"
"Specially Selected Health Projects","93.888","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 2004","HHS","https://www.cfda.gov/programs/93.888"
"National Bioterrorism Hospital Preparedness Program","93.889","Office Of The Secretary, Department Of Health And Human Services","Jan, 01 2004","HHS","https://www.cfda.gov/programs/93.889"
"Healthy Communities Access Program (HCAP) Demonstration Authority","93.890","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 2004","HHS","https://www.cfda.gov/programs/93.890"
"Alcohol Research Center Grants","93.891","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.891"
"Nursing Education Loan Repayment Program ","93.908","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.908"
"Family and Community Violence Prevention Program","93.910","Office Of Minority Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.910"
"Rural Health Care Services Outreach and Rural Health Network Development Program","93.912","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.912"
"Grants to States for Operation of Offices of Rural Health","93.913","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.913"
"HIV Emergency Relief Project Grants","93.914","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.914"
"HIV Care Formula Grants","93.917","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.917"
"Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease","93.918","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.918"
"Cooperative Agreements for State-Based Comprehensive Breast and Cervical Cancer Early Detection Programs","93.919","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.919"
"Disadvantaged Health Professions Faculty Loan Repayment (FLRP) and Minority Faculty Fellowship Program (MFFP)","93.923","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.923"
"Ryan White HIV/AIDS Dental Reimbursements Community Based Dental Partnership","93.924","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.924"
"Scholarships for Health Professions Students from Disadvantaged Backgrounds","93.925","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.925"
"Healthy Start Initiative","93.926","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.926"
"Special Projects of National Significance","93.928","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.928"
"Native Hawaiian Health Systems","93.932","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.932"
"Demonstration Projects for Indian Health","93.933","Indian Health Service, Department Of Health And Human Services","Jan, 01 1991","HHS","https://www.cfda.gov/programs/93.933"
"National Institutes of Health Acquired Immunodeficiency Syndrome Research Loan Repayment Program","93.936","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.936"
"Cooperative Agreements to Support Comprehensive School Health Programs to Prevent the Spread of HIV and Other Important Health Problems","93.938","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.938"
"HIV Prevention Activities_Non-Governmental Organization Based","93.939","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.939"
"HIV Prevention Activities_Health Department Based","93.940","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.940"
"HIV Demonstration, Research, Public and Professional Education Projects","93.941","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1922","HHS","https://www.cfda.gov/programs/93.941"
"Research, Treatment and Education Programs on Lyme Disease in the United States","93.942","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.942"
"Epidemiologic Research Studies of Acquired Immunodeficiency Syndrome (AIDS) and Human Immunodeficiency Virus (HIV) Infection in Selected Population Groups","93.943","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.943"
"Human Immunodeficiency Virus (HIV)/Acquired Immunodeficiency Virus Syndrome (AIDS) Surveillance","93.944","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.944"
"Assistance Programs for Chronic Disease Prevention and Control","93.945","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.945"
"Cooperative Agreements to Support State-Based Safe Motherhood and Infant Health Initiative Programs","93.946","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.946"
"Tuberculosis Demonstration, Research, Public and Professional Education","93.947","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.947"
"Trauma Care Systems Planning and Development","93.952","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.952"
"Tribal Recruitment and Retention of Health Professionals into Indian Health Programs","93.954","Indian Health Service, Department Of Health And Human Services","Jan, 01 1992","HHS","https://www.cfda.gov/programs/93.954"
"Block Grants for Community Mental Health Services","93.958","Substance Abuse And Mental Health Services Administration, Department Of Health And Human Services","Jan, 01 1993","HHS","https://www.cfda.gov/programs/93.958"
"Block Grants for Prevention and Treatment of Substance Abuse","93.959","Substance Abuse And Mental Health Services Administration, Department Of Health And Human Services","Jan, 01 1993","HHS","https://www.cfda.gov/programs/93.959"
"Health Administration Traineeships Program","93.962","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.962"
"Public Health Traineeships","93.964","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.964"
"Coal Miners Respiratory Impairment Treatment Clinics and Services","93.965","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.965"
"Geriatric Education Centers","93.969","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.969"
"Health Professions Recruitment Program for Indians","93.970","Indian Health Service, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.970"
"Health Professions Preparatory Scholarship Program for Indians","93.971","Indian Health Service, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.971"
"Health Professions Scholarship Program","93.972","Indian Health Service, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.972"
"Family Planning_Service Delivery Improvement Research Grants","93.974","Office Of Population Affairs, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.974"
"National All Schedules Prescription Electronic Reporting Grant","93.975","Substance Abuse And Mental Health Services Administration, Department Of Health And Human Services","Jun, 12 2009","HHS","https://www.cfda.gov/programs/93.975"
"Preventive Health Services_Sexually Transmitted Diseases Control Grants","93.977","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.977"
"Preventive Health Services_Sexually Transmitted Diseases Research, Demonstrations, and Public Information and Education Grants","93.978","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.978"
"Mental Health Disaster Assistance and Emergency Mental Health","93.982","Substance Abuse And Mental Health Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.982"
"Cooperative Agreements for State-Based Diabetes Control Programs and Evaluation of Surveillance Systems","93.988","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.988"
"International Research and Research Training","93.989","National Institutes Of Health, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.989"
"National Health Promotion","93.990","Office Of Disease Prevention And Health Promotion, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.990"
"Preventive Health and Health Services Block Grant","93.991","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.991"
"Public Health Research Accreditation Project","93.993","Centers For Disease Control And Prevention, Department Of Health And Human Services","Jan, 01 2004","HHS","https://www.cfda.gov/programs/93.993"
"Maternal and Child Health Services Block Grant to the States","93.994","Health Resources And Services Administration, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.994"
"Adolescent Family Life_Demonstration Projects","93.995","Office Of Population Affairs, Department Of Health And Human Services","Jan, 01 1990","HHS","https://www.cfda.gov/programs/93.995"
"Bioterrorism Training and Curriculum Development Program","93.996","Office Of The Secretary, Department Of Health And Human Services","Jan, 01 2003","HHS","https://www.cfda.gov/programs/93.996"
"Retired and Senior Volunteer Program","94.002","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.002"
"State Commissions","94.003","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.003"
"Learn and Serve America_School and Community Based Programs","94.004","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.004"
"Learn and Serve America_Higher Education","94.005","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.005"
"AmeriCorps","94.006","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.006"
"Program Development and Innovation Grants","94.007","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.007"
"Training and Technical Assistance","94.009","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.009"
"Foster Grandparent Program","94.011","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.011"
"Volunteers in Service to America","94.013","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.013"
"Senior Companion Program","94.016","Corporation For National And Community Service","Jan, 01 1995","CNCS","https://www.cfda.gov/programs/94.016"
"Senior Demonstration Program","94.017","Corporation For National And Community Service","Dec, 13 2009","CNCS","https://www.cfda.gov/programs/94.017"
"Learn and Serve America Innovative Community-Based Service-Learning Programs ","94.018","Corporation For National And Community Service","Nov, 16 2009","CNCS","https://www.cfda.gov/programs/94.018"
"Social Innovation Fund","94.019","Corporation For National And Community Service","Jan, 28 2010","CNCS","https://www.cfda.gov/programs/94.019"
"CNCS Disaster Response Cooperative Agreement","94.020","Corporation For National And Community Service","Dec, 20 2009","CNCS","https://www.cfda.gov/programs/94.020"
"Nonprofit Capacity Building","94.022","Corporation For National And Community Service","Dec, 20 2009","CNCS","https://www.cfda.gov/programs/94.022"
"Social Security_Disability Insurance","96.001","Social Security Administration","Jan, 01 1995","SSA","https://www.cfda.gov/programs/96.001"
"Social Security_Retirement Insurance","96.002","Social Security Administration","Jan, 01 1995","SSA","https://www.cfda.gov/programs/96.002"
"Social Security_Survivors Insurance","96.004","Social Security Administration","Jan, 01 1995","SSA","https://www.cfda.gov/programs/96.004"
"Supplemental Security Income","96.006","Social Security Administration","Jan, 01 1995","SSA","https://www.cfda.gov/programs/96.006"
"Social Security_Research and Demonstration","96.007","Social Security Administration","Jan, 01 1995","SSA","https://www.cfda.gov/programs/96.007"
"Social Security - Work Incentives Planning and Assistance Program ","96.008","Social Security Administration","Jan, 01 2000","SSA","https://www.cfda.gov/programs/96.008"
"Social Security State Grants for Work Incentives Assistance to Disabled Beneficiaries","96.009","Social Security Administration","Jan, 01 2002","SSA","https://www.cfda.gov/programs/96.009"
"Special Benefits for Certain World War II Veterans","96.020","Social Security Administration","Jan, 01 2000","SSA","https://www.cfda.gov/programs/96.020"
"Social Security Economic Recovery Act Payments","96.021","Social Security Administration","Oct, 08 2009","SSA","https://www.cfda.gov/programs/96.021"
"State Domestic Preparedness Equipment Support Program","97.004","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.004"
"State and Local Homeland Security Training  Program","97.005","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.005"
"Homeland Security Preparedness Technical Assistance Program","97.007","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.007"
"Urban Areas Security Initiative ","97.008","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.008"
"Cuban/Haitian Entrant  Program","97.009","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.009"
"Citizenship Education and Training","97.010","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.010"
"Boating Safety","97.011","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.011"
"Boating Safety Financial Assistance","97.012","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.012"
"State Access to the Oil Spill Liability Trust Fund","97.013","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.013"
"Secret Service_Training Activities","97.015","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.015"
"Reimbursement for Firefighting on Federal Property","97.016","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.016"
"National Fire Academy Training Assistance","97.018","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.018"
"National Fire Academy Educational Program","97.019","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.019"
"Hazardous Materials Training Program","97.020","Department Of Homeland Security","Jan, 01 2003","DHS","https://www.cfda.gov/programs/97.020"
